1	3.2000000000000007E+001	2.5000000000000000E+001	0.0000000000000000E+000	0.0000000000000000E+000	4.5751022839456406E+000	4.9040368766290046E+000	8.2507270687584611E-001	4.1856839483334705E+000	2.6595858764151620E-001	7.2010741272143752E-001 
5	1.9536320000000006E+002	2.4999988437259077E+001	-1.1562740922954617E-005	-6.6959273659644466E-008	4.5587528449641352E+000	4.8667787425582025E+000	8.3914251780345694E-001	4.1575441256128185E+000	2.6596200129432956E-001	7.2010741272143697E-001 
10	5.0999758723200028E+002	2.4999966978899597E+001	-3.3021100403374248E-005	-6.8927091494195925E-008	4.5601950690407307E+000	4.8714433689415877E+000	8.3859038284195908E-001	4.1586480227655978E+000	2.6596895496801842E-001	7.2010741272143741E-001 
15	1.0167194142130093E+003	2.4999931235512662E+001	-6.8764487338057734E-005	-7.1567403507961199E-008	4.5628139821870324E+000	4.8772702196687234E+000	8.3626598191292367E-001	4.1632962036961763E+000	2.6598217855453798E-001	7.2010741272143730E-001 
20	1.8327999837841944E+003	2.4999870936289792E+001	-1.2906371020804386E-004	-7.5352173596160242E-008	4.5671643591618833E+000	4.8846987760068208E+000	8.3127950613226986E-001	4.1732681077485489E+000	2.6601035829926389E-001	7.2010741272143652E-001 
25	3.1471059018842843E+003	2.4999768291847516E+001	-2.3170815248363397E-004	-7.9484126788528361E-008	4.5719867347151899E+000	4.8899384545955495E+000	8.2425459432002168E-001	4.1873161482435846E+000	2.6607183518349853E-001	7.2010741272143441E-001 
30	5.2638087260436605E+003	2.4999598689468577E+001	-4.0131053142289375E-004	-7.9742224034106065E-008	4.5747345630628322E+000	4.8852110447307968E+000	8.1639523269236081E-001	4.2030319251665125E+000	2.6618613603709745E-001	7.2010741272142764E-001 
35	8.6727797913805789E+003	2.4999336838238385E+001	-6.6316176161507201E-004	-7.4906609059143263E-008	4.5744326553177608E+000	4.8729008199370751E+000	8.1084393578564207E-001	4.2141299700613324E+000	2.6637887479792999E-001	7.2010741272140533E-001 
40	1.4162961781816344E+004	2.4998936880217808E+001	-1.0631197821915350E-003	-7.2150220758980099E-008	4.5739608788508859E+000	4.8682130254584575E+000	8.0944359148008305E-001	4.2169237104501054E+000	2.6669417960566361E-001	7.2010741272132661E-001 
45	2.3004954779233049E+004	2.4998301293528790E+001	-1.6987064712097322E-003	-7.1812305225410439E-008	4.5737514090719662E+000	4.8680251268537855E+000	8.0976858173558641E-001	4.2162626880575100E+000	2.6720252218629537E-001	7.2010741272102796E-001 
50	3.7245072921502637E+004	2.4997279243330400E+001	-2.7207566695999219E-003	-7.1760349518693950E-008	4.5734004614269548E+000	4.8683910485169557E+000	8.1065343785719401E-001	4.2144752194143615E+000	2.6801363253407540E-001	7.2010741271982714E-001 
55	6.0178925590809245E+004	2.4995633616906215E+001	-4.3663830937852310E-003	-7.1759032441393750E-008	4.5728407375690745E+000	4.8690621907024054E+000	8.1210845666568054E-001	4.2115365902857258E+000	2.6930190434390472E-001	7.2010741271481638E-001 
60	9.7114124653254243E+004	2.4992981505562906E+001	-7.0184944370943469E-003	-7.1844253234859137E-008	4.5720356540497997E+000	4.8701924058596484E+000	8.1428373128285114E-001	4.2071399586656231E+000	2.7134180983646999E-001	7.2010741269337408E-001 
65	1.5659863209531253E+005	2.4988698637301781E+001	-1.1301362698219464E-002	-7.2118995992928067E-008	4.5709673421792898E+000	4.8720856359087596E+000	8.1736697004842529E-001	4.2008990528218710E+000	2.7455549806695251E-001	7.2010741259931410E-001 
70	2.5239902617582190E+005	2.4981753321028929E+001	-1.8246678971070907E-002	-7.2776403333521587E-008	4.5696130861364335E+000	4.8752436507771506E+000	8.2165448956833442E-001	4.1922032899369164E+000	2.7964361957924389E-001	7.2010741214972074E-001 
75	4.0668651884642313E+005	2.4970397912666133E+001	-2.9602087333866933E-002	-7.4185624338374375E-008	4.5680559997005625E+000	4.8805523769210346E+000	8.2742302551201763E-001	4.1804687654412094E+000	2.8749645764149967E-001	7.2010739922945532E-001 
80	6.5516806866735325E+005	2.4951557446794375E+001	-4.8442553205624961E-002	-7.6968360256078773E-008	4.5663626118631049E+000	4.8894486652556655E+000	8.3525794535424824E-001	4.1644711216595667E+000	2.9966254492217426E-001	7.2010596089615653E-001 
85	1.0553500894694596E+006	2.4919491600894151E+001	-8.0508399105848838E-002	-8.2330939860237491E-008	4.5646207224140838E+000	4.9043926250054417E+000	8.4621370412717833E-001	4.1420011229059908E+000	3.1867732223913758E-001	7.2005020246449347E-001 
90	1.6998472357914599E+006	2.4862498089662616E+001	-1.3750191033738446E-001	-9.2758073227053643E-008	4.5630382046448856E+000	4.9297860846223944E+000	8.6207546947405211E-001	4.1092831772280194E+000	3.4903053980899873E-001	7.1920942071452287E-001 
95	2.7378163349145050E+006	2.4752882411401576E+001	-2.4711758859842448E-001	-1.1505987445185702E-007	4.5624912461880314E+000	4.9742584171637256E+000	8.8540555265842735E-001	4.0607040268195167E+000	3.9852130716520923E-001	7.1296824877312981E-001 
100	4.4094759487431608E+006	2.4506743641652381E+001	-4.9325635834761883E-001	-1.7261379178057707E-007	4.5649539870325633E+000	5.0562546961022043E+000	9.2147821043860123E-001	3.9842185403030896E+000	4.8669468015840017E-001	6.8407280982511642E-001 
104	6.3353730482989857E+006	2.4033827206522879E+001	-9.6617279347712071E-001	-2.9960666001689479E-007	4.5520665491072476E+000	5.1699016897908763E+000	1.0040765831335685E+000	3.8105591215922403E+000	6.5774357033721886E-001	6.2674361532815381E-001 
105	6.7690831942200307E+006	2.3884184940179537E+001	-1.1158150598204628E+000	-3.4502828156246775E-007	4.5403377560180278E+000	5.2009169467388592E+000	1.0430417977859991E+000	3.7299161831958068E+000	7.1173853730580383E-001	6.1586126685722786E-001 
110	8.0635161876352774E+006	2.3332697557834223E+001	-1.6673024421657772E+000	-4.3889040451678525E-007	4.4474478058693130E+000	5.3155216912191365E+000	1.2861240703235690E+000	3.2336061644511771E+000	9.2281367655035340E-001	5.9467123742752281E-001 
115	8.3495210089527294E+006	2.3200563991761957E+001	-1.7994360082380432E+000	-6.6088924939774016E-007	4.4756590675339858E+000	5.3784850452559745E+000	1.2611832240126419E+000	3.2810214478448132E+000	9.8658444754157015E-001	5.9140769461508313E-001 
120	8.3560625680998294E+006	2.3175798113156251E+001	-1.8242018868437491E+000	-2.1148455980727685E-005	4.3320272471755477E+000	5.4339567381171232E+000	1.5761827111600930E+000	2.6505586301196726E+000	9.8661377441259468E-001	5.9130902878524771E-001 
125	8.3576442127499487E+006	2.3119552452303765E+001	-1.8804475476962352E+000	-3.4362352430325416E-005	4.2862962641432327E+000	5.4395090440805491E+000	1.6704208302064349E+000	2.4610271157688097E+000	9.8659962620407682E-001	5.9124690038652594E-001 
