3.537819	0.000265	5.420000	0.125000	-8.750000	0.312500	23.713737	1.706341
3.563481	0.000250	5.560000	0.125000	-9.100000	0.312500	25.703958	1.849548
3.537819	0.000265	5.240000	0.125000	-8.300000	0.312500	21.379621	1.538387
3.574263	0.000239	5.320000	0.125000	-8.500000	0.312500	22.387211	1.610889
3.548389	0.000260	5.290000	0.130000	-8.425000	0.325000	22.003917	1.646641
3.537819	0.000265	5.000000	0.125000	-7.700000	0.312500	18.620871	1.339879
3.556905	0.000263	5.100000	0.135000	-7.950000	0.337500	19.724227	1.532814
3.556905	0.000263	5.300000	0.135000	-8.450000	0.337500	22.130947	1.719846
3.531351	0.000278	5.070000	0.125000	-7.875000	0.312500	19.386526	1.394973
3.556905	0.000263	5.120000	0.135000	-8.000000	0.337500	19.952623	1.550563
3.548389	0.000260	5.160000	0.130000	-8.100000	0.325000	20.417379	1.527914
3.603686	0.000232	5.450000	0.125000	-8.825000	0.312500	24.126815	1.736064
3.556905	0.000263	4.870000	0.135000	-7.375000	0.337500	17.278260	1.342732
