3450	127	5.42	0.125	-11.75	0.32	
3660	127	5.56	0.125	-11.92	0.32
3450	127	5.24	0.125	-11.28	0.32
3752	117	5.32	0.125	-11.24	0.30
3535	130	5.29	0.130	-11.36	0.32
3450	127	5.00	0.125	-10.70	0.32
3605	151	5.10	0.135	-10.81	0.34
3605	151	5.30	0.135	-11.33	0.34
3399	150	5.07	0.125	-10.92	0.31
3605	151	5.12	0.135	-10.86	0.34
3535	130	5.16	0.130	-11.03	0.32
4015	140	5.45	0.125	-11.39	0.32
3605	151	4.87	0.135	-10.25	0.34
