1	2.3061515828419704E+001	2.8500000000000000E+001	0.0000000000000000E+000	0.0000000000000000E+000	4.5946483280850003E+000	5.0449145069860943E+000	8.5641943377567331E-001	4.1798953458702881E+000	7.5650774598751109E+000	5.3066507220305004E-001	2.6596614196039242E-001	7.2011618584200365E-001 
5	1.4079286028408518E+002	2.8499984491991228E+001	-1.5508008772258108E-005	-1.2444634200370495E-007	4.5773323802051218E+000	5.0060239631960579E+000	8.7160605764041077E-001	4.1495218618234633E+000	7.5579517257232451E+000	5.1391196882066537E-001	2.6596899225008674E-001	7.2011618584200376E-001 
10	3.6754116970020732E+002	2.8499956068181952E+001	-4.3931818048292826E-005	-1.2587306550138734E-007	4.5777203600067073E+000	5.0081218508429322E+000	8.7187904186067766E-001	4.1489754602490212E+000	7.5581067153246213E+000	5.1429558822608124E-001	2.6597427564041054E-001	7.2011618584200365E-001 
15	7.3272158949796631E+002	2.8499909605218182E+001	-9.0394781818048386E-005	-1.2817045671608880E-007	4.5790660508217051E+000	5.0112689465002322E+000	8.7076120805933188E-001	4.1512104198286837E+000	7.5600443140962605E+000	5.2037371208520511E-001	2.6598339090812040E-001	7.2011618584200343E-001 
20	1.3208483073864556E+003	2.8499832757362075E+001	-1.6724263792511351E-004	-1.3238117917399371E-007	4.5822132372673261E+000	5.0165366580717077E+000	8.6710069095382813E-001	4.1585302829958071E+000	7.5652202644444637E+000	5.3668122016066777E-001	2.6600135520979556E-001	7.2011618584200310E-001 
25	2.2680322678130465E+003	2.8499703309399724E+001	-2.9669060027615046E-004	-1.3931728567649872E-007	4.5870923403284296E+000	5.0232310730603853E+000	8.6068969232596026E-001	4.1713503076552856E+000	7.5738144947811392E+000	5.6353919035466360E-001	2.6604194911788276E-001	7.2011618584200177E-001 
30	3.7934815079196769E+003	2.8499484820865668E+001	-5.1517913433229978E-004	-1.4468514572756125E-007	4.5916821934136127E+000	5.0252775931499594E+000	8.5253324620037985E-001	4.1876598704427188E+000	7.5818916153287788E+000	5.8751270859642146E-001	2.6612953483492852E-001	7.2011618584199777E-001 
35	6.2502327636038071E+003	2.8499134172302696E+001	-8.6582769730370046E-004	-1.4042374567949784E-007	4.5931463555212906E+000	5.0162122375212634E+000	8.4507224417067650E-001	4.2025765310485932E+000	7.5849973610626620E+000	5.9526176667886144E-001	2.6628579200171115E-001	7.2011618584198434E-001 
40	1.0206855228395656E+004	2.8498598102076556E+001	-1.4018979234435847E-003	-1.3320828605345240E-007	4.5927229338949900E+000	5.0078533809636694E+000	8.4173965914448134E-001	4.2092335319219005E+000	7.5850075693804877E+000	5.9438211081559666E-001	2.6654582245824587E-001	7.2011618584193726E-001 
45	1.6579035274167578E+004	2.8497759039107230E+001	-2.2409608927702607E-003	-1.3127217945355827E-007	4.5924030251073580E+000	5.0064864783767780E+000	8.4169602542629862E-001	4.2093080125615003E+000	7.5845522122151703E+000	5.9279456627951299E-001	2.6696877471995478E-001	7.2011618584176174E-001 
50	2.6841494959683725E+004	2.8496413209555008E+001	-3.5867904449915500E-003	-1.3111072315950172E-007	4.5920751491174991E+000	5.0067593937792090E+000	8.4248823510723214E-001	4.2077030828097053E+000	7.5839233704017435E+000	5.9074104983238629E-001	2.6764318996210329E-001	7.2011618584105719E-001 
55	4.3369288907804330E+004	2.8494246293621398E+001	-5.7537063786021747E-003	-1.3111605475726001E-007	4.5915601731866822E+000	5.0072995364058990E+000	8.4378825828221182E-001	4.2050700107098651E+000	7.5830361818936183E+000	5.8781813606362321E-001	2.6871372326360188E-001	7.2011618583811055E-001 
60	6.9987466339192077E+004	2.8490754257421532E+001	-9.2457425784679970E-003	-1.3125467281534697E-007	4.5908212366581429E+000	5.0081925128273603E+000	8.4571261955002142E-001	4.2011680611131084E+000	7.5818401439203162E+000	5.8381922542958875E-001	2.7040686828765975E-001	7.2011618582542225E-001 
65	1.1285630727421635E+005	2.8485117424578739E+001	-1.4882575421260924E-002	-1.3167029654488664E-007	4.5898238458283966E+000	5.0096763437276755E+000	8.4844931665967116E-001	4.1956087341880952E+000	7.5803306871881553E+000	5.7863427366425280E-001	2.7307426764817144E-001	7.2011618576935399E-001 
70	1.8189700428848233E+005	2.8475987811301557E+001	-2.4012188698442571E-002	-1.3264613436414070E-007	4.5885527757972033E+000	5.0121478798001906E+000	8.5222722475831647E-001	4.1879137022685775E+000	7.5785873024726058E+000	5.7235917703394312E-001	2.7725900274060128E-001	7.2011618549639334E-001 
75	2.9308773723692790E+005	2.8461106151546886E+001	-3.8893848453113833E-002	-1.3468291537176681E-007	4.5870334290909076E+000	5.0162764256125234E+000	8.5733019107707242E-001	4.1774807463529049E+000	7.5767950844537841E+000	5.6531987159691577E-001	2.8380182344519950E-001	7.2011617577174369E-001 
80	4.7216152455772908E+005	2.8436570460669941E+001	-6.3429539330059015E-002	-1.3864191361052306E-007	4.5853099347270794E+000	5.0231917310318952E+000	8.6423483251441480E-001	4.1632969063274716E+000	7.5752540025491717E+000	5.5802863236823841E-001	2.9396804914184810E-001	7.2011503971074842E-001 
85	7.6056164977575268E+005	2.8395294600935184E+001	-1.0470539906481591E-001	-1.4619749238853256E-007	4.5834729937450929E+000	5.0347715255754499E+000	8.7369861175016517E-001	4.1437385087571297E+000	7.5743613593589583E+000	5.5102436850884939E-001	3.0983902327741347E-001	7.2007079100946225E-001 
90	1.2250329354406320E+006	2.8323498822334411E+001	-1.7650117766558893E-001	-1.6046098740704878E-007	4.5817914381850073E+000	5.0543366215091492E+000	8.8684427083718553E-001	4.1163477127824555E+000	7.5746788239306033E+000	5.4486688148198315E-001	3.3484905517279345E-001	7.1940646989898138E-001 
95	1.9730685857167770E+006	2.8190916263526656E+001	-3.0908373647334386E-001	-1.8929077335794235E-007	4.5809382909551308E+000	5.0880181015794212E+000	9.0539130533207413E-001	4.0772159343256789E+000	7.5770902910268632E+000	5.4015671326700809E-001	3.7508079778225423E-001	7.1450194772132591E-001 
100	3.1777874808430118E+006	2.7917337429936477E+001	-5.8266257006352262E-001	-2.5569641140184556E-007	4.5826657507967408E+000	5.1482004752164228E+000	9.3202757246735646E-001	4.0197082042838872E+000	7.5833470181185936E+000	5.3821598512882929E-001	4.4363881858210130E-001	6.9229208008427234E-001 
105	5.1048823726931931E+006	2.7216765153999773E+001	-1.2832348460002265E+000	-4.5571891363005226E-007	4.5858493158634834E+000	5.2630576522115540E+000	9.8308903083143717E-001	3.9065477976560463E+000	7.5993880391874660E+000	5.4805834652905627E-001	5.8827366467313758E-001	6.1953048554532497E-001 
107	5.9838710365330605E+006	2.6709808041361772E+001	-1.7901919586382284E+000	-6.2080073506065314E-007	4.5678605588992349E+000	5.3241985864481105E+000	1.0496370118782106E+000	3.7652860964921198E+000	7.6135419469148040E+000	5.7234103695106953E-001	7.0272341042381858E-001	5.8517935334451288E-001 
110	6.8716428419239018E+006	2.6020430282080184E+001	-2.4795697179198157E+000	-8.5202558887358788E-007	4.5095170649923890E+000	5.4035731685417447E+000	1.2060112907387213E+000	3.4411812458517961E+000	7.6400986016918884E+000	6.3543052565237934E-001	8.4916635593537326E-001	5.6578438692789523E-001 
115	7.4725215721349120E+006	2.5525179892056819E+001	-2.9748201079431809E+000	-7.6816687268544565E-007	4.4402515376196758E+000	5.4760256561379403E+000	1.3807685892822443E+000	3.0833209863657549E+000	7.7477839316507726E+000	9.5527592141124040E-001	9.8343174670441325E-001	5.5965460411649393E-001 
