#                           1                            2                            3                            4                            5 
#              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
#                        6794      1.3000000000000000E+001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 
#
#                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11 
#                    model_number                         star_age                        star_mass                       delta_mass                        star_mdot                         log_Teff                            log_L                            log_R                            log_g                       center_he4                       surface_h1 
                              24          1.4523516129619278E+004          1.2999975884720319E+001         -2.4115279680714252E-005         -1.8141198133726030E-009          4.4612772473155768E+000          4.1123964764190557E+000          6.5690258003100077E-001          4.2380267400316054E+000          2.6623462165298800E-001          7.2007247607068126E-001 
                              25          1.6139980226671511E+004          1.2999973008339277E+001         -2.6991660723396649E-005         -1.7794277303909687E-009          4.4610029848321018E+000          4.1083085073525831E+000          6.5540712046471428E-001          4.2410175630719582E+000          2.6627382815860362E-001          7.2007247607067248E-001 
                              26          1.7918090733428966E+004          1.2999969917378943E+001         -3.0082621057303527E-005         -1.7383398405969447E-009          4.4605873825747890E+000          4.1041153486086950E+000          6.5414174560739524E-001          4.2435482095258292E+000          2.6631589990240689E-001          7.2007247607066105E-001 
                              27          1.9874012290862171E+004          1.2999966602385568E+001         -3.3397614432217892E-005         -1.6948498587925010E-009          4.4601926673343630E+000          4.1004312114248318E+000          6.5308910749631610E-001          4.2456533750028456E+000          2.6636536920222270E-001          7.2007247607064662E-001 
                              28          2.2025526004038693E+004          1.2999963037479207E+001         -3.6962520793437648E-005         -1.6569294160021801E-009          4.4597643273073091E+000          4.0972166459081656E+000          6.5233850479209166E-001          4.2471544613171908E+000          2.6641735199584143E-001          7.2007247607062885E-001 
                              29          2.4392191088532873E+004          1.2999959196158857E+001         -4.0803841143244313E-005         -1.6230941905071609E-009          4.4594166132789956E+000          4.0948094889318991E+000          6.5183035436058467E-001          4.2481706338518030E+000          2.6647489266961250E-001          7.2007247607060632E-001 
                              30          2.6995522681476465E+004          1.2999955036949698E+001         -4.4963050301660701E-005         -1.5976486312425209E-009          4.4591932224217645E+000          4.0932715271750215E+000          6.5150815519660854E-001          4.2488148932314829E+000          2.6653932967364058E-001          7.2007247607057812E-001 
                              31          2.9859187433714418E+004          1.2999950508275596E+001         -4.9491724404049364E-005         -1.5814260730481691E-009          4.4590597579438347E+000          4.0923915304113514E+000          6.5133508577063259E-001          4.2491608807922567E+000          2.6661072583600087E-001          7.2007247607054115E-001 
                              32          3.3009218661176164E+004          1.2999945556504404E+001         -5.4443495596245839E-005         -1.5719752698637586E-009          4.4589758122906842E+000          4.0919276198388639E+000          6.5127102179069007E-001          4.2492888433263332E+000          2.6668919165058003E-001          7.2007247607049474E-001 
                              33          3.6474253011384091E+004          1.2999940127994131E+001         -5.9872005868655265E-005         -1.5666541004297830E-009          4.4589214771765047E+000          4.0917155846591884E+000          6.5127367442921125E-001          4.2492833566967967E+000          2.6677549525073563E-001          7.2007247607043456E-001 
                              34          4.0285790796612804E+004          1.2999934167436345E+001         -6.5832563654666387E-005         -1.5638196761779970E-009          4.4588797115674632E+000          4.0916360527329569E+000          6.5131743968417855E-001          4.2491956270599491E+000          2.6687036904255967E-001          7.2007247607035785E-001 
                              35          4.4478482360364389E+004          1.2999927617396271E+001         -7.2382603729437278E-005         -1.5622518315867286E-009          4.4588401042384715E+000          4.0916140601997375E+000          6.5138565807555271E-001          4.2490589714570950E+000          2.6697444456832198E-001          7.2007247607025848E-001 
                              36          4.9090443080491146E+004          1.2999920417244679E+001         -7.9582755320828369E-005         -1.5611910052300889E-009          4.4587994526412134E+000          4.0916243116806550E+000          6.5147208701052750E-001          4.2488858730483470E+000          2.6708886042504915E-001          7.2007247607013058E-001 
