#                           1                            2                            3                            4                            5 
#              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
#                        6794      4.0000000000000000E+001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 
#
#                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11 
#                    model_number                         star_age                        star_mass                       delta_mass                        star_mdot                         log_Teff                            log_L                            log_R                            log_g                       center_he4                       surface_h1 
                               1          9.8821176880261898E+000          4.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          4.6367764897798613E+000          5.3752937185415011E+000          9.3735271616365290E-001          4.1652439124137812E+000          2.6596825732499646E-001          7.2014080282351700E-001 
                               2          2.0752447144854997E+001          4.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          4.6357384829151806E+000          5.3700783735169306E+000          9.3682105738072974E-001          4.1663072299796280E+000          2.6596937196529408E-001          7.2014080282351700E-001 
                               3          3.2709809547366689E+001          4.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          4.6352788675591041E+000          5.3678000053515795E+000          9.3660110401020802E-001          4.1667471367206712E+000          2.6597033011969640E-001          7.2014080282351700E-001 
                               4          4.5862908190129552E+001          4.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          4.6349997241274927E+000          5.3663395023657294E+000          9.3642913938050687E-001          4.1670910659800739E+000          2.6597100190636219E-001          7.2014080282351700E-001 
                               5          6.0331316697168695E+001          4.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          4.6348060278397325E+000          5.3652474052622710E+000          9.3627048340429742E-001          4.1674083779324924E+000          2.6597147995580167E-001          7.2014080282351700E-001 
                               6          7.6246566054911767E+001          4.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          4.6346668039443593E+000          5.3643793123480625E+000          9.3611488473793925E-001          4.1677195752652088E+000          2.6597187784686360E-001          7.2014080282351700E-001 
                               7          9.3753340348429134E+001          4.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          4.6345711319651315E+000          5.3636765784470164E+000          9.3595486174587139E-001          4.1680396212493447E+000          2.6597229966133251E-001          7.2014080282351700E-001 
                               8          1.1301079207129824E+002          4.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          4.6345158018999042E+000          5.3631094758230118E+000          9.3578197056432499E-001          4.1683854036124375E+000          2.6597287499770544E-001          7.2014080282351700E-001 
                               9          1.3419398896645427E+002          4.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          4.6344942039952448E+000          5.3626531308283649E+000          9.3559699387631901E-001          4.1687553569884495E+000          2.6597366870019057E-001          7.2014080282351700E-001 
                              10          1.5749550555112589E+002          4.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          4.6345041231862956E+000          5.3622922214946724E+000          9.3539670082737136E-001          4.1691559430863450E+000          2.6597462033906627E-001          7.2014080282351700E-001 
