#                           1                            2                            3                            4                            5 
#              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
#                        6794      1.2000000000000000E+001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 
#
#                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11 
#                    model_number                         star_age                        star_mass                       delta_mass                        star_mdot                         log_Teff                            log_L                            log_R                            log_g                       center_he4                       surface_h1 
                               1          2.0046884346862029E+002          1.2000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          4.4450487411634443E+000          4.0199657642049198E+000          6.4314423622819705E-001          4.2307821270043560E+000          2.6594677483495888E-001          7.2006952872135388E-001 
                               2          4.2098457128410257E+002          1.1999999766269534E+001         -2.3373046609265202E-007         -1.0599265178053468E-009          4.4259422967990547E+000          3.9706678228064818E+000          6.5670815425775786E-001          4.2036542824862462E+000          2.6594862411755960E-001          7.2006952872135388E-001 
                               3          6.6355187188113314E+002          1.1999999601864021E+001         -3.9813597929594380E-007         -6.7777277791862385E-010          4.4269331109427217E+000          3.9754245984001986E+000          6.5710491376728219E-001          4.2028607575171639E+000          2.6595067765979247E-001          7.2006952872135366E-001 
                               4          9.3037590253786675E+002          1.1999999414698097E+001         -5.8530190294447948E-007         -7.0145827741636460E-010          4.4274918622665265E+000          3.9778885626265228E+000          6.5721939323283574E-001          4.2026317918122951E+000          2.6595299294770064E-001          7.2006952872135388E-001 
                               5          1.2238823362602739E+003          1.1999999205013758E+001         -7.9498624216967073E-007         -7.1441139620126377E-010          4.4280276834449372E+000          3.9800333329135458E+000          6.5722013601952423E-001          4.2026302986501891E+000          2.6595564747835482E-001          7.2006952872135355E-001 
                               6          1.5467394133549217E+003          1.1999998970508612E+001         -1.0294913881381262E-006         -7.2634351430705151E-010          4.4286535868849031E+000          3.9823515751678951E+000          6.5712745026676811E-001          4.2028156616686765E+000          2.6595871078635192E-001          7.2006952872135377E-001 
                               7          1.9018821981590343E+003          1.1999998707745153E+001         -1.2922548471294704E-006         -7.3988116976708163E-010          4.4293969943426887E+000          3.9849490573976563E+000          6.5693937646607714E-001          4.2031917997603303E+000          2.6596229419706757E-001          7.2006952872135355E-001 
                               8          2.2925392614435577E+003          1.1999998412527486E+001         -1.5874725143305568E-006         -7.5569519968440920E-010          4.4302657946839554E+000          3.9878378684283700E+000          6.5664618129889996E-001          4.2037781794104001E+000          2.6596650747671968E-001          7.2006952872135332E-001 
                               9          2.7222620310565339E+003          1.1999998079920301E+001         -1.9200796987917101E-006         -7.7400409849419801E-010          4.4312600569747804E+000          3.9909984703814403E+000          6.5623795769378579E-001          4.2045946145831712E+000          2.6597151026937010E-001          7.2006952872135321E-001 
                              10          3.1949570776308078E+003          1.1999997704189290E+001         -2.2958107095405467E-006         -7.9486978535118071E-010          4.4323754419002830E+000          3.9943970347073501E+000          6.5570647000573612E-001          4.2056575763611095E+000          2.6597748475271549E-001          7.2006952872135344E-001 
                              11          3.7149216288625094E+003          1.1999997278715801E+001         -2.7212841988699665E-006         -8.1827403182914094E-010          4.4336011102669231E+000          3.9979806266648881E+000          6.5504692925122332E-001          4.2069766424717328E+000          2.6598459734383317E-001          7.2006952872135299E-001 
                              12          4.2868826352173810E+003          1.1999996795945277E+001         -3.2040547228717742E-006         -8.4406195651196229E-010          4.4349209944565899E+000          4.0016785745833516E+000          6.5425613483112277E-001          4.2085582138398818E+000          2.6599313395707602E-001          7.2006952872135244E-001 
                              13          4.9160397422077394E+003          1.1999996247362041E+001         -3.7526379585983705E-006         -8.7193362086235657E-010          4.4363107601133711E+000          4.0053914748927717E+000          6.5333305367226957E-001          4.2104043563036928E+000          2.6600334054182206E-001          7.2006952872135155E-001 
                              14          5.6081125598971339E+003          1.1999995623570427E+001         -4.3764295725168267E-006         -9.0133812448999190E-010          4.4377394868724416E+000          4.0089934588036549E+000          6.5227659210957134E-001          4.2125172568533102E+000          2.6601538025599986E-001          7.2006952872135088E-001 
                              15          6.3693926593554679E+003          1.1999994914469500E+001         -5.0855304998265183E-006         -9.3145864009596655E-010          4.4391687226760022E+000          4.0123288165079911E+000          6.5108579935461730E-001          4.2148988166999901E+000          2.6602947619148776E-001          7.2006952872135022E-001 
                              16          7.2068007687596355E+003          1.1999994109594500E+001         -5.8904055002528821E-006         -9.6115023570123001E-010          4.4405549856466839E+000          4.0152223935661571E+000          6.4976006194233693E-001          4.2175502623951395E+000          2.6604589394796313E-001          7.2006952872134877E-001 
                              17          8.1279496891042199E+003          1.1999993198591394E+001         -6.8014086060941281E-006         -9.8898569421687261E-010          4.4418486314604513E+000          4.0174764309654893E+000          6.4829978901446794E-001          4.2204707752805586E+000          2.6606397792489800E-001          7.2006952872134689E-001 
                              18          9.1412135014832638E+003          1.1999992171922877E+001         -7.8280771234062740E-006         -1.0132292300220283E-009          4.4430001082788806E+000          4.0188970304766247E+000          6.4670713513317768E-001          4.2236560458867434E+000          2.6608437380674010E-001          7.2006952872134478E-001 
                              19          1.0255803695100212E+004          1.1999991021592795E+001         -8.9784072052623287E-006         -1.0320654978406497E-009          4.4439599601588666E+000          4.0193126725241939E+000          6.4499525239699029E-001          4.2270797697272551E+000          2.6610676162939972E-001          7.2006952872134145E-001 
