#                           1                            2                            3                            4                            5 
#              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
#                        6794      2.5000000000000000E+001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 
#
#                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11 
#                    model_number                         star_age                        star_mass                       delta_mass                        star_mdot                         log_Teff                            log_L                            log_R                            log_g                       center_he4                       surface_h1 
                               1          3.2000000000000007E+001          2.5000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          4.5751022839456406E+000          4.9040368766290046E+000          8.2507270687584611E-001          4.1856839483334705E+000          2.6595858764151620E-001          7.2010741272143752E-001 
                               2          6.7200000000000031E+001          2.4999996936962166E+001         -3.0630378340390507E-006         -8.7018120175816025E-008          4.5576010903854032E+000          4.8613393471958162E+000          8.3872632927972812E-001          4.1583766503152857E+000          2.6595933909436553E-001          7.2010741272143752E-001 
                               3          1.0592000000000004E+002          2.4999994401244923E+001         -5.5987550773295425E-006         -6.5488565113553060E-008          4.5580963605275597E+000          4.8640018518568340E+000          8.3906704132592436E-001          4.1576951821729660E+000          2.6596014915429045E-001          7.2010741272143752E-001 
                               4          1.4851200000000006E+002          2.4999991573852082E+001         -8.4261479180725019E-006         -6.6383190393353611E-008          4.5584257135404442E+000          4.8655703635515684E+000          8.3919259114752209E-001          4.1574440334129115E+000          2.6596102418527451E-001          7.2010741272143741E-001 
                               5          1.9536320000000006E+002          2.4999988437404557E+001         -1.1562595442882184E-005         -6.6944870628137611E-008          4.5586708934322724E+000          4.8666444640424853E+000          8.3923928160932315E-001          4.1573505980036138E+000          2.6596199734892700E-001          7.2010741272143741E-001 
                               6          2.4689952000000011E+002          2.4999984966275019E+001         -1.5033724981350360E-005         -6.7353073315299036E-008          4.5589075285486782E+000          4.8675714591408434E+000          8.3922950892569170E-001          4.1573700830711484E+000          2.6596308492650655E-001          7.2010741272143752E-001 
                               7          3.0358947200000011E+002          2.4999981126815516E+001         -1.8873184483680916E-005         -6.7727337281064497E-008          4.5591602184147151E+000          4.8684701059557192E+000          8.3917345260105525E-001          4.1574821290221333E+000          2.6596430507289048E-001          7.2010741272143741E-001 
                               8          3.6594841920000016E+002          2.4999976879803420E+001         -2.3120196580350694E-005         -6.8105897960217471E-008          4.5594416529073625E+000          4.8693878804278494E+000          8.3906947085182615E-001          4.1576900187423727E+000          2.6596566841941677E-001          7.2010741272143763E-001 
                               9          4.3454326112000024E+002          2.4999972180734098E+001         -2.7819265902451207E-005         -6.8504703731896710E-008          4.5597595761385010E+000          4.8703440936140669E+000          8.3891173098265825E-001          4.1580054168494307E+000          2.6596720697678455E-001          7.2010741272143741E-001 
                              10          5.0999758723200028E+002          2.4999966979607954E+001         -3.3020392045557401E-005         -6.8930787817716176E-008          4.5601198555357874E+000          4.8713469625359096E+000          8.3869260664900658E-001          4.1584435751638082E+000          2.6596894516307457E-001          7.2010741272143763E-001 
                              11          5.9299734595520044E+002          2.4999961220431111E+001         -3.8779568889424354E-005         -6.9387874496124897E-008          4.5605279561127725E+000          4.8723993557501215E+000          8.3840260210214268E-001          4.1590234842102438E+000          2.6597091886518415E-001          7.2010741272143752E-001 
                              12          6.8429708055072058E+002          2.4999954840541733E+001         -4.5159458267107766E-005         -6.9878509579387429E-008          4.5609885115350179E+000          4.8735054044625095E+000          8.3803451561384534E-001          4.1597595463566224E+000          2.6597317414411215E-001          7.2010741272143719E-001 
                              13          7.8472678860579265E+002          2.4999947769770849E+001         -5.2230229151462026E-005         -7.0405172143488363E-008          4.5615074831170386E+000          4.8746697516523838E+000          8.3757874604474092E-001          4.1606709626627207E+000          2.6597575215387154E-001          7.2010741272143719E-001 
                              14          8.9519946746637197E+002          2.4999939929351775E+001         -6.0070648224552770E-005         -7.0971566487762251E-008          4.5620907539815789E+000          4.8758977187393748E+000          8.3702618785915506E-001          4.1617759428315564E+000          2.6597871965326680E-001          7.2010741272143752E-001 
