#                           1                            2                            3                            4                            5 
#              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
#                        6794      1.7000000000000000E+001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 
#
#                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11 
#                    model_number                         star_age                        star_mass                       delta_mass                        star_mdot                         log_Teff                            log_L                            log_R                            log_g                       center_he4                       surface_h1 
                               1          8.3922361604267579E+001          1.7000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          4.5121267470158326E+000          4.4605295175155417E+000          7.2927010117873081E-001          4.2097980724339372E+000          2.6595746453148456E-001          7.2008414815292288E-001 
                               2          1.7623695936896192E+002          1.6999998988306533E+001         -1.0116934667792066E-006         -1.0959192733160595E-008          4.4935597122764452E+000          4.4136942287797636E+000          7.4298652628961792E-001          4.1823651963666979E+000          2.6595868898199299E-001          7.2008414815292288E-001 
                               3          2.7778301691012575E+002          1.6999998217233937E+001         -1.7827660627744990E-006         -7.5933287107347673E-009          4.4940431945807884E+000          4.4169237878612657E+000          7.4363434122168226E-001          4.1810695468041814E+000          2.6595996120248128E-001          7.2008414815292299E-001 
                               4          3.8948368020540590E+002          1.6999997352755177E+001         -2.6472448233505474E-006         -7.7392446427706781E-009          4.4941907822385181E+000          4.4182622381845960E+000          7.4400839106788796E-001          4.1803214250271576E+000          2.6596133818767564E-001          7.2008414815292299E-001 
                               5          5.1235440983021408E+002          1.6999996394698872E+001         -3.6053011278625036E-006         -7.7972704347344195E-009          4.4942621800418268E+000          4.4190572787494915E+000          7.4426311574371840E-001          4.1798119512002829E+000          2.6596286259470431E-001          7.2008414815292343E-001 
                               6          6.4751221241750318E+002          1.6999995336191056E+001         -4.6638089443717945E-006         -7.8316441743813207E-009          4.4943592114468425E+000          4.4197708510634612E+000          7.4442583909067173E-001          4.1794864774649518E+000          2.6596453760119226E-001          7.2008414815292288E-001 
                               7          7.9618579526352119E+002          1.6999994166825505E+001         -5.8331744945405717E-006         -7.8653216388760193E-009          4.4945177284109068E+000          4.4205560762520415E+000          7.4450141775683332E-001          4.1793352902591483E+000          2.6596641059294579E-001          7.2008414815292310E-001 
                               8          9.5972673639414097E+002          1.6999992873868880E+001         -7.1261311198611565E-006         -7.9060118901546634E-009          4.4947562578829858E+000          4.4214783393490000E+000          7.4448549036115441E-001          4.1793671120196736E+000          2.6596851368427521E-001          7.2008414815292299E-001 
                               9          1.1396217716378226E+003          1.6999991442393384E+001         -8.5576066162218467E-006         -7.9572818401788724E-009          4.4950879101750010E+000          4.4225765908991903E+000          7.4437131155221892E-001          4.1795954330680036E+000          2.6597089923200512E-001          7.2008414815292299E-001 
                              10          1.3375063104058725E+003          1.6999989855060640E+001         -1.0144939359690852E-005         -8.0215096874664550E-009          4.4955254675677967E+000          4.4238793734125084E+000          7.4414758802328684E-001          4.1800428395746785E+000          2.6597363261333512E-001          7.2008414815292310E-001 
