#                           1                            2                            3                            4                            5 
#              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
#                        6794      2.0000000000000000E+001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 
#
#                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11 
#                    model_number                         star_age                        star_mass                       delta_mass                        star_mdot                         log_Teff                            log_L                            log_R                            log_g                       center_he4                       surface_h1 
                               1          5.5901699437494777E+001          2.0000000000000000E+001          0.0000000000000000E+000          0.0000000000000000E+000          4.5400014014662089E+000          4.6540970354177160E+000          7.7030455122906594E-001          4.1983102466189743E+000          2.6595382941577411E-001          7.2009307775533349E-001 
                               2          1.1739356881873903E+002          1.9999998299406368E+001         -1.7005936321368154E-006         -2.7655585186018083E-008          4.5233206827404775E+000          4.6122004219477004E+000          7.8271768194552094E-001          4.1734839482581414E+000          2.6595486220403913E-001          7.2009307775533316E-001 
                               3          1.8503462513810771E+002          1.9999996920788103E+001         -3.0792118970168758E-006         -2.0381382884988406E-008          4.5239236755266683E+000          4.6152582878594259E+000          7.8304062932900276E-001          4.1728380235548590E+000          2.6595597671421717E-001          7.2009307775533382E-001 
                               4          2.5943978708941330E+002          1.9999995376887444E+001         -4.6231125558904296E-006         -2.0749913294494922E-008          4.5242987381966486E+000          4.6169592742808829E+000          7.8314099719977071E-001          4.1726372542879391E+000          2.6595721242296066E-001          7.2009307775533327E-001 
                               5          3.4128546523584947E+002          1.9999993660982565E+001         -6.3390174354083229E-006         -2.0965125057436179E-008          4.5245997712941781E+000          4.6181739844628238E+000          7.8314628609568226E-001          4.1726266392357054E+000          2.6595860105932012E-001          7.2009307775533316E-001 
                               6          4.3131571119692921E+002          1.9999991758877957E+001         -8.2411220425626652E-006         -2.1127395440379389E-008          4.5249066241314670E+000          4.6192679911321992E+000          7.8307958375579156E-001          4.1727600026117946E+000          2.6596016880430634E-001          7.2009307775533327E-001 
                               7          5.3034898175411695E+002          1.9999989651299309E+001         -1.0348700691054091E-005         -2.1281521182432581E-008          4.5252467168985007E+000          4.6203629580134420E+000          7.8294688166234594E-001          4.1730253610331758E+000          2.6596192770615756E-001          7.2009307775533338E-001 
                               8          6.3928557936702350E+002          1.9999987315445551E+001         -1.2684554448583185E-005         -2.1442323438250421E-008          4.5256340644020465E+000          4.6215082234865905E+000          7.8274481939182838E-001          4.1734294348517622E+000          2.6596392913862954E-001          7.2009307775533360E-001 
                               9          7.5911583674122073E+002          1.9999984725166442E+001         -1.5274833558009959E-005         -2.1616235877226729E-008          4.5260776154451365E+000          4.6227272980848468E+000          7.8246725460477651E-001          4.1739845081786298E+000          2.6596620716944935E-001          7.2009307775533371E-001 
                              10          8.9092911985283774E+002          1.9999981850742795E+001         -1.8149257204669311E-005         -2.1806782860632582E-008          4.5265851728325659E+000          4.6240346185299410E+000          7.8210580005246544E-001          4.1747073548658840E+000          2.6596881806393174E-001          7.2009307775533349E-001 
                              11          1.0359237312756163E+003          1.9999978658440515E+001         -2.1341559484966410E-005         -2.2016695995962032E-008          4.5271635073431487E+000          4.6254414967317192E+000          7.8165257013218836E-001          4.1756137453864062E+000          2.6597182859497209E-001          7.2009307775533360E-001 
                              12          1.1954178038406731E+003          1.9999975109949080E+001         -2.4890050919879059E-005         -2.2248422021917008E-008          4.5278186807792666E+000          4.6269572601809390E+000          7.8110010498456184E-001          4.1767185986270574E+000          2.6597532006628921E-001          7.2009307775533360E-001 
                              13          1.3708612836622351E+003          1.9999971161728080E+001         -2.8838271919795488E-005         -2.2504233300325850E-008          4.5285551739064811E+000          4.6285883199894053E+000          7.8044264863436752E-001          4.1780334255928011E+000          2.6597939248919672E-001          7.2009307775533316E-001 
                              14          1.5638491114659537E+003          1.9999966764315925E+001         -3.3235684075094696E-005         -2.2785956029689086E-008          4.5293756480287284E+000          4.6303328503769725E+000          7.7967396558365565E-001          4.1795706962054853E+000          2.6598416355562871E-001          7.2009307775533304E-001 
                              15          1.7761357220500440E+003          1.9999961861681868E+001         -3.8138318132041604E-005         -2.3094410170813498E-008          4.5302790381579596E+000          4.6321805201041499E+000          7.7879102018878188E-001          4.1813364805356965E+000          2.6598976856958800E-001          7.2009307775533316E-001 
                              16          2.0096509936925434E+003          1.9999956390660412E+001         -4.3609339588357443E-005         -2.3428966410599234E-008          4.5312605047566299E+000          4.6341096817061116E+000          7.7779266779242173E-001          4.1833330665264530E+000          2.6599638500890999E-001          7.2009307775533293E-001 
                              17          2.2665177924992927E+003          1.9999950280555403E+001         -4.9719444596973972E-005         -2.3787056312359382E-008          4.5323094347204238E+000          4.6360805925545820E+000          7.7668026328907036E-001          4.1855577428536019E+000          2.6600420962548965E-001          7.2009307775533271E-001 
                              18          2.5490712711867172E+003          1.9999943453209141E+001         -5.6546790858647000E-005         -2.4163023215484983E-008          4.5334085247719607E+000          4.6380346974752609E+000          7.7545913564633540E-001          4.1879998498847373E+000          2.6601340612765223E-001          7.2009307775533271E-001 
                              19          2.8598800977428837E+003          1.9999935823608432E+001         -6.4176391568082636E-005         -2.4547567679890454E-008          4.5345356327258575E+000          4.6398953311413251E+000          7.7413523657157424E-001          4.1906474823590854E+000          2.6602424481841414E-001          7.2009307775533204E-001 
                              20          3.2017698069546673E+003          1.9999927301010359E+001         -7.2698989640684886E-005         -2.4927916351762367E-008          4.5356635427102194E+000          4.6415674619451162E+000          7.7271548200474449E-001          4.1934868064262458E+000          2.6603690226907634E-001          7.2009307775533149E-001 
                              21          3.5778484870876287E+003          1.9999917790836619E+001         -8.2209163380753125E-005         -2.5287723672254209E-008          4.5367586855882953E+000          4.6429410427410147E+000          7.7121198664654189E-001          4.1964935906310528E+000          2.6605140995045773E-001          7.2009307775533093E-001 
                              22          3.9915350352338869E+003          1.9999907187125469E+001         -9.2812874530778799E-005         -2.5632235800708659E-008          4.5376885211505389E+000          4.6437284789491722E+000          7.6974603362613481E-001          4.1994252664141971E+000          2.6606782442367771E-001          7.2009307775533038E-001 
                              23          4.4465902381947699E+003          1.9999895410372570E+001         -1.0458962742987410E-004         -2.5879833522804220E-008          4.5385289173976675E+000          4.6440492059093330E+000          7.6822560461195744E-001          4.2024658687123502E+000          2.6608643898566081E-001          7.2009307775532938E-001 
                              24          4.9471509614517418E+003          1.9999882369140899E+001         -1.1763085910132531E-004         -2.6053246020342728E-008          4.5392482776233152E+000          4.6437882753974300E+000          7.6665641890471092E-001          4.2056039569385222E+000          2.6610714725079737E-001          7.2009307775532838E-001 
                              25          5.4977677570344113E+003          1.9999867981051697E+001         -1.3201894830316974E-004         -2.6130857825760173E-008          4.5398227872194408E+000          4.6428823894714171E+000          7.6505445674945305E-001          4.2088075688137003E+000          2.6613055742752784E-001          7.2009307775532694E-001 
                              26          6.1034462321753481E+003          1.9999852172941718E+001         -1.4782705828153553E-004         -2.6099837832699078E-008          4.5402326041504182E+000          4.6413066513356798E+000          7.6344695381963090E-001          4.2120222314021971E+000          2.6615625917897184E-001          7.2009307775532527E-001 
